description,ingredients,instructions,name,calories,carbs,protein,fat
"This dish combines an omelet stuffed with spinach, Swiss cheese, and mushrooms with a hearty side of bacon and hash browns all in one casserole pan!","['8 center-cut bacon slices', '1 1/2 cups chopped onion', '8 ounces sliced shiitake mushroom caps', '3 garlic cloves, minced', '2 cups shredded hash brown potatoes (such as Simply Potatoes; certified gluten-free if necessary)', '1/4 cup no-salt-added chicken stock (such as Swanson; certified gluten-free if necessary)', '5 cups fresh baby spinach', '2 tablespoons thinly sliced fresh basil', '1/2 teaspoon kosher salt, divided', '1/2 teaspoon freshly ground black pepper, divided', '3 ounces reduced-fat Swiss cheese, finely chopped', 'Cooking spray', '1/2 cup 1% low-fat milk', '6 large eggs, lightly beaten']","1. Preheat oven to 350°F. 2. Cook bacon in a large nonstick skillet over medium heat until crisp. Remove bacon from pan; crumble. Increase heat to medium-high. Add onion, mushrooms, and garlic to drippings in pan; sauté for 6 minutes. 3. Add potatoes and stock; cook 6 minutes, stirring frequently. Add spinach, basil, 1/4 teaspoon salt, and 1/4 teaspoon pepper; cook 2 minutes or until spinach wilts. Remove from heat; let stand 10 minutes. Stir in crumbled bacon and cheese. Place mushroom mixture in an 11 x 7-inch broiler-safe glass or ceramic baking dish coated with cooking spray. 4. Combine remaining 1/4 teaspoon salt, 1/4 teaspoon pepper, milk, and eggs in a medium bowl. Pour egg mixture over mushroom mixture. Bake at 350°F for 28 minutes. 5. Preheat broiler to high; remove dish while broiler preheats. Broil 3 minutes or until top is browned and just set. Let stand 5 minutes.",EGGS & HASHBROWN CASSEROLE,464,36,34,20
"If you’re tired of oatmeal for breakfast then this recipe is a must-try! Quinoa is surprisingly filling and appetizing especially served with a helping of strawberries, bananas and toasted coconut.","['1/2 cup uncooked quinoa (certified gluten-free if necessary)', '3/4 cup light coconut milk', '2 tablespoons water', '1 tablespoon light brown sugar', '1/8 teaspoon salt', '1/4 cup flaked unsweetened coconut', '1 cup sliced strawberries', '1 cup sliced banana']","1. Preheat oven to 400°F. 2. Place quinoa in a fine sieve, and place the sieve in a large bowl. Cover quinoa with water. Using your hands, rub the grains together for 30 seconds; rinse and drain quinoa. Repeat the procedure twice. Drain well. Combine quinoa, coconut milk, 2 tablespoons water, brown sugar, and salt in a medium saucepan, and bring to a boil. Reduce heat, and simmer 15 minutes or until liquid is absorbed, stirring occasionally. Stir mixture constantly during the last 2 minutes of cooking. 3. While quinoa cooks, spread flaked coconut in a single layer on a baking sheet. Bake at 400°F for 5 minutes or until golden brown. Cool slightly. 4. Place about 1/2 cup quinoa mixture in each of 4 bowls. Top each serving with 1/4 cup strawberry slices, 1/4 cup banana slices, and 1 tablespoon toasted coconut. Serve warm.",BREAKFAST QUINOA,732,136,16,16
"This decadent knife-and-fork taco features a soft, runny egg atop beans, cheese, pico de gallo and so much more! Each taco delivers a good amount of protein and fiber.","['4 (6-inch) corn tortillas', 'Cooking spray', '1/2 cup shredded reduced-fat 4-cheese Mexican blend cheese', '1/2 cup black beans, rinsed and drained', '2 teaspoons olive oil', '4 large eggs', '1/4 teaspoon black pepper', '1/4 cup fresh pico de gallo', '2 tablespoons Mexican crema', '1/2 ripe peeled avocado, chopped', '1/4 cup fresh cilantro leaves', '4 lime wedges']","1. Preheat broiler to high. 2. Arrange tortillas on a baking sheet; lightly coat tortillas with cooking spray. Broil 2 minutes; remove pan from oven. Turn tortillas over. Top each tortilla with 2 tablespoons cheese and 2 tablespoons beans. Broil 1 minute or until cheese melts. Remove from oven. 3. Heat a large nonstick skillet over medium-high heat. Add oil to pan; swirl to coat. Crack eggs into pan; cook 2 minutes. Cover and cook 2 minutes or until whites are set. Place 1 egg in center of each tortilla; sprinkle with pepper. Top tacos evenly with pico de gallo, crema, avocado, and cilantro. Serve with lime.",HUEVOS RANCHEROS TACOS,1100,72,52,76
Here’s an interesting and healthy way to add oats to your morning meal: oatmeal pancakes. Each stack of 4 pancakes is under 300 calories and provides you with 9 grams of protein and 3 grams of fiber.,"['1.1 ounces all-purpose flour (1/4 cup)', '1 cup quick-cooking oats', '1 tablespoon sugar', '1/2 teaspoon baking powder', '1/2 teaspoon baking soda', '1/4 teaspoon ground cinnamon', '1/8 teaspoon salt', '1 cup nonfat buttermilk', '2 tablespoons butter, melted', '1 large egg', 'Cooking spray']","1. Weigh or lightly spoon flour into a dry measuring cup; level with a knife. Combine the first 7 ingredients in a medium bowl, stirring with a whisk. 2. Combine buttermilk, butter, and egg in a small bowl. Add to flour mixture, stirring just until moist. 3. Heat a nonstick griddle over medium heat. Coat pan with cooking spray. Spoon about 2 1/2 tablespoons batter per pancake onto griddle. Turn pancakes over when tops are covered with bubbles; cook until bottoms are lightly browned.",OATMEAL PANCAKES,831,105,27,36
Look no further for fiber than steel cut oats especially when it’s topped with a zesty cinnamon- blueberry compote. You know what they say: a spoonful of blueberries helps the oatmeal go down!,"['2 cups frozen blueberries', '1/4 cup sugar', '1 teaspoon grated lemon rind', '1 tablespoon fresh lemon juice', '1/2 teaspoon ground cinnamon, divided', '4 cups water', '1 cup steel-cut oats (certified gluten-free if necessary)', '1/4 teaspoon salt', '1 tablespoon butter']","OVERNIGHT ALERT! Prepping steel cut oats the night before reduces cooking time the next morning. Marinating blueberry compote overnight helps it soak in more sweetness. 1. Combine blueberries, sugar, rind, juice, and 1/4 teaspoon cinnamon in a medium bowl; toss to coat. Refrigerate. 2. Bring 4 cups water to a boil in a medium saucepan. Stir in remaining 1/4 teaspoon cinnamon, oats, and salt; cook 1 minute. Remove oat mixture from heat, cover, and refrigerate in pan overnight. THE NEXT DAY: 3. Bring blueberry mixture to a boil in a small saucepan over high heat. Cook 6 minutes or until slightly thickened, stirring frequently. Bring oat mixture to a boil over medium-high heat; cook 5 minutes or until thoroughly heated, stirring frequently. Add butter to oat mixture. 4. Spoon 3/4 cup oatmeal into each of 4 bowls; top each serving with 1/4 cup blueberry compote.",STEEL CUT OATS WITH BLUEBERRY COMPOTE,1020,200,20,24
"Make a delicious, nutritious lunch in no time flat with Greek-style chicken wraps. Combine grocery store rotisserie chicken, tomatoes, cucumbers, olives, and hummus on a flour tortilla and you have a balanced meal.","['1 cup grape tomatoes, halved', '3 tablespoons pitted kalamata olives, coarsely chopped', '2 tablespoons crumbled feta cheese', '1 1/2 tablespoons fresh lemon juice', '1 tablespoon chopped fresh oregano', '1 tablespoon olive oil', '1/8 teaspoon ground red pepper', '4 ounces shredded skinless, boneless rotisserie chicken breast (about 1 cup)', '2 Kirby or small cucumbers, chopped', '6 tablespoons plain hummus', '6 (8-inch) whole-wheat flour tortillas']","1. Place tomatoes, olives, feta, juice, oregano, oil, pepper, chicken, and cucumber in a large bowl; toss to combine. 2. Spread 1 tablespoon hummus over 1 side of each tortilla. Top each tortilla with about 1/2 cup chicken mixture. Roll up wraps; cut in half.",GREEK STYLE CHICKEN WRAPS,1458,180,60,54
"300 calorie lunch in less than 30 minutes? Sign me up! This crispy vegetable quesadilla spices up corn, spinach and quinoa with poblano chile and Mexican hot sauce.","['1 teaspoon canola oil', '1 cup coarsely chopped poblano chile', '1/2 cup frozen whole-kernel corn', '3/4 cup packaged precooked quinoa', '1/4 teaspoon salt', '5 ounces fresh spinach (about 8 3/4 cups)', '3 ounces sharp cheddar cheese, shredded (about 3/4 cup)', '1 cup canned unsalted black beans, rinsed and drained', '2 teaspoons Mexican hot sauce (such as Cholula)', '8 (6-inch) flour tortillas', 'Cooking spray', '6 tablespoons light sour cream', '6 lime wedges']","1. Place oven rack in middle of oven. Preheat broiler to high. Place a baking sheet on rack in oven (keep pan in oven as it preheats). 2. Heat a large skillet over medium-high heat. Add oil to pan; swirl to coat. Add poblano and corn; cook 5 minutes, stirring once. Add quinoa, salt, and spinach; sauté 2 minutes or until spinach wilts. Remove from heat; stir in cheese. 3. Combine beans and hot sauce in a small bowl; mash with fork until smooth. Spread 2 1/2 tablespoons bean mixture on each of 4 tortillas; top each with 1/2 cup spinach mixture and 1 tortilla. Lightly coat quesadillas with cooking spray. Arrange quesadillas on preheated pan in oven; broil 3 minutes or until lightly browned, turning once. 4. Cut each quesadilla into 6 wedges. Serve with sour cream and lime.",CRISPY VEGETABLE QUESADILLAS A,1782,240,78,66
"This garlicky sandwich combines cheese, bacon and greens for the most satisfying 300 calories you can chomp into.","['1/2 teaspoon olive oil', '2 large garlic cloves, thinly sliced', '4 cups baby spinach leaves', '4 cups baby arugula leaves', '4 center-cut bacon slices, halved', '8 (1-ounce) rustic Italian bread slices', '2 ounces part-skim mozzarella cheese, shredded (about 1/2 cup)', '2 ounces fontina cheese, shredded (about 1/2 cup)']","1. Heat a large skillet over medium-high heat. Add oil; swirl to coat. Add garlic to pan; sauté 1 minute. Add spinach and arugula; stir until wilted. Remove spinach mixture from pan. Return pan to medium-high heat. Add bacon; cook until crisp. Remove bacon. 2. Top 4 bread slices evenly with cheeses, bacon pieces, spinach mixture, and the remaining 4 bread slices. 3. Heat pan over medium heat. Add sandwiches to drippings in pan; weigh down with a plate. Cook 2 minutes on each side.",GARLICKY GRILLED CHEESE WITH BACON & SPINACH,1172,120,64,44
This colorful orzo and chicken main dish salad is packed with an assortment of chopped fresh vegetables and tossed with a tangy lemon dressing. It‘s a great use for leftover or rotisserie chicken.,"['3/4 cup uncooked orzo', '1/4 teaspoon grated lemon rind', '3 tablespoons fresh lemon juice', '1 tablespoon extra-virgin olive oil', '1/2 teaspoon kosher salt', '1/2 teaspoon minced garlic', '1/4 teaspoon honey', '1/8 teaspoon freshly ground black pepper', '1 cup shredded skinless, boneless rotisserie chicken breast', '1/2 cup diced English cucumber', '1/2 cup prechopped red bell pepper', '1/3 cup thinly sliced green onions', '1 tablespoon chopped fresh dill', '1/2 cup (2 ounces) crumbled goat cheese']","1. Cook orzo according to package directions, omitting salt and fat. Drain and rinse with cold water; drain and place in a large bowl. 2. While orzo cooks, combine lemon rind and next 6 ingredients (through black pepper), stirring well with a whisk. Drizzle juice mixture over orzo; toss to coat. Add chicken and next 4 ingredients (through dill); toss gently to combine. Sprinkle with cheese.",LEMONY ORZO VEGGIE SALAD WITH CHICKEN,1052,108,72,36
"Crowd-pleasing white bean chili calls for canned beans and chicken broth, making prep convenient. They’ll be clamoring for more of your high protein, high fiber chili.","['1 tablespoon canola oil', '2 cups diced yellow onion (about 2 medium)', '1 1/2 tablespoons chili powder', '1 tablespoon minced garlic', '1 1/2 teaspoons ground cumin', '1 teaspoon dried oregano', '3 (15.8-ounce) cans Great Northern beans, rinsed and drained (certified gluten-free if necessary)', '4 cups fat-free, less-sodium chicken broth', '3 cups chopped cooked turkey', '1/2 cup diced seeded plum tomato (about 1)', '1/3 cup chopped fresh cilantro', '2 tablespoons fresh lime juice', '1/2 teaspoon salt', '1/2 teaspoon freshly ground black pepper', '8 lime wedges (optional)']","1. Heat oil in a large Dutch oven over medium-high heat. Add onion; sauté 10 minutes or until tender and golden. Add chili powder, garlic, and cumin; sauté for 2 minutes. Add oregano and beans; cook for 30 seconds. Add broth; bring to a simmer. Cook 20 minutes. 2. Place 2 cups of bean mixture in a blender or food processor, and process until smooth. Return pureed mixture to pan. Add turkey, and cook 5 minutes or until thoroughly heated. Remove from heat. Add diced tomato, chopped cilantro, lime juice, salt, and pepper, stirring well. Garnish with lime wedges, if desired.",WHITE BEAN TURKEY CHILI,2176,224,208,56
"We describe the Tennessee Burger with Bourbon and BBQ Sauce as a Southern triple threat--loaded with bacon, BBQ, and bourbon.","['3 bacon slices', '1 teaspoon extra-virgin olive oil', '3 cups vertically sliced red onion', '5 tablespoons bourbon, divided 1 tablespoon balsamic vinegar', '1/2 teaspoon kosher salt, divided', '1/2 cup lower-sodium ketchup', '1 tablespoon Dijon mustard 2 teaspoons honey', '2 teaspoons hot pepper sauce', '2 teaspoons Worcestershire sauce', '1/4 teaspoon smoked paprika', '1/4 teaspoon garlic powder 1/4 teaspoon onion powder', '1 1/2 pounds 90% lean ground sirloin', 'Cooking spray', '6 (1 1/2-ounce) French bread hamburger buns 6 (1/4-inch-thick) slices tomato']","1. Cook bacon in a large skillet over medium heat until crisp. Remove bacon from pan. Add oil and onion to drippings in pan; cook 15 minutes or until onion is browned and very tender, stirring occasionally. Add 3 tablespoons bourbon, vinegar, and 1/4 teaspoon salt. Cook 2 minutes or until liquid almost evaporates, stirring constantly. Remove amixture from pan. Cool 5 minutes. 2. Combine remaining 2 tablespoons bourbon, ketchup, and next 7 ingre dients (through onion powder) in a small saucepan. Bring to a boil, stirring frequently. Reduce heat; simmer 5 minutes or until sauce thickens. Remove from heat. 3. Preheat grill to medium-high heat. 4. Coarsely chop 3/4 cup onion mixture; stir into beef. Divide beef mixture into 6 equal portions, gently shaping each portion into a 1/2-inch-thick patty. Press a nickel-sized indentation in center of each patty. Sprinkle evenly with remaining 1/4 teaspoon salt. Place patties on grill rack coated with cooking spray; grill 4 minutes on each side or until desired degree of doneness. 5. Spread each top and bottom bun half with 1 tablespoon sauce. Place patties on bottom halves; top each patty with 1 tomato slice. Divide remaining onion mixture evenly among servings. Top each serving with 1/2 bacon slice and top half of bun.",TENNESSEE BURGER WITH BOURBON BBQ SAUCE,2316,228,186,54
This zesty mustard sauce dresses chicken breasts and sautéed Brussels sprouts to make a delicious low carb and high protein meal. If low carb isn’t your thing add in a baked potato and consider your meal complete.,"['2 tablespoons olive oil, divided', '4 (6-ounce) skinless, boneless chicken breast halves', '3/8 teaspoon salt, divided', '1/4 teaspoon freshly ground black pepper', '3/4 cup fat-free, lower-sodium chicken broth, divided (certified gluten-free if necessary)', '1/4 cup unfiltered apple cider', '2 tablespoons whole-grain Dijon mustard (certified gluten-free if necessary)', '2 tablespoons butter, divided', '1 tablespoon chopped fresh flat-leaf parsley', '12 ounces Brussels sprouts, trimmed and halved']","1. Preheat oven to 450°F. 2. Heat a large ovenproof skillet over high heat. Add 1 tablespoon oil. Sprinkle chicken with 1/4 teaspoon salt and pepper; add to pan. Cook 3 minutes or until browned. Turn chicken; place pan in oven. Bake at 450°F for 9 minutes or until done. Remove chicken from pan; keep warm. Heat pan over medium-high heat. Add 1/2 cup broth and cider; bring to a boil, scraping pan to loosen browned bits. Reduce heat to medium-low; simmer 4 minutes or until thickened. Whisk in mustard, 1 tablespoon butter, and parsley. 3. Heat remaining 1 tablespoon oil and 1 tablespoon butter in a large nonstick skillet over medium-high heat. Add Brussels sprouts; sauté 2 minutes or until lightly browned. Add remaining 1/8 teaspoon salt and 1/4 cup broth to pan; cover and cook 4 minutes or until crisp- tender. Serve sprouts with chicken and sauce.",CHICKEN WITH BRUSSELS SPROUTS & MUSTARD SAUCE,1420,36,168,68
Embrace Indian flavors by making this vegetarian meal that only takes about 40 minutes from start to finish.,"['1 1/2 teaspoons olive oil', '1 cup diced peeled sweet potato', '1 cup small cauliflower florets', '1/4 cup thinly sliced yellow onion', '2 teaspoons Madras curry powder', '1/2 cup organic vegetable broth (such as Swanson; certified gluten-free if necessary)', '1/4 teaspoon salt', '1 (15-ounce) can chickpeas (garbanzo beans), rinsed and drained (certified gluten-free if necessary)', '1 (14.5-ounce) can no-salt-added diced tomatoes, undrained', '2 tablespoons chopped fresh cilantro', '1/2 cup plain 2% reduced-fat Greek yogurt (certified gluten-free if necessary)']","1. Heat olive oil in a large nonstick skillet over medium-high heat. Add sweet potato to pan; sauté 3 minutes. Decrease heat to medium. Add cauliflower, onion, and curry powder; cook 1 minute, stirring mixture constantly. Add broth and next 3 ingredients (through tomatoes); bring to a boil. 2. Cover, reduce heat, and simmer 10 minutes or until vegetables are tender, stirring occasionally. 3. Sprinkle with cilantro; serve with yogurt.",FALL VEGETABLE CURRY,900,156,36,16
Just a touch of honey adds a slight sweetness that rounds out the flavor in this quick stir-fry. Each 1 cup serving of stir-fry delivers 23 grams of protein and pairs well with a high fiber cup of steamed brown rice.,"['1 pound medium shrimp, peeled and deveined', '1 tablespoon cornstarch (certified gluten-free if necessary)', '2 1/2 tablespoons canola oil, divided', '1/4 cup (1-inch) diagonally cut green onions', '2 teaspoons minced peeled fresh ginger', '3 garlic cloves, thinly sliced', '2 cups broccoli florets', '1/4 cup lower-sodium soy sauce (certified gluten-free if necessary)', '2 tablespoons rice vinegar', '1 teaspoon honey', '1/8 teaspoon crushed red pepper']","1. Combine shrimp and cornstarch in a medium bowl, tossing to coat. Heat a large wok or skillet over high heat. Add 1 tablespoon oil to pan; swirl to coat. Add shrimp; stir-fry 4 minutes. Remove shrimp from pan; place in a medium bowl. Add 1 1/2 teaspoons oil to pan; swirl to coat. Add green onions, ginger, and garlic to pan; stir-fry 45 seconds. Add onion mixture to shrimp. 2. Add 1 tablespoon oil to pan; swirl to coat. Add broccoli; stir-fry 1 1/2 minutes. Stir in shrimp mixture, soy sauce, and remaining ingredients; bring to a boil. Cook 1 minute or until shrimp are done and broccoli is crisp-tender.",SHRIMP & BROCCOLI STIR FRY,868,44,92,36
