description,ingredients,instructions,name,calories,carbs,protein,fat
"This salad is easy to fix, looks great on a plate, and is delicious to eat.","['6 cups torn or cut mixed salad greens', '2 tablespoons lemon juice', '1⁄3 teaspoon garlic powder', '3 medium tomatoes, chopped', '1/2 teaspoon ground black pepper', '5 green onions, chopped', '1/2 teaspoon salt', '1 small cucumber, peeled and chopped', '1 large avocado, peeled']","1. Mix salad greens, tomatoes, onions, and cucumber in a large serving bowl. 2. In asmall bowl, mix lemon juice, garlic powder, ground black pepper, and salt. Pour over salad mixture and toss together. 3. Cut avocado in half lengthwise. Remove pit and peel avocado halves. Slice into thin wedges, about 1/8-inch thick. 4. Arrange avocado slices on top of salad and serve immediately.",AVOCADO GARDEN SALAD,468,54,12,30
Serve these sandwiches with sliced jalapefio peppers for a little added heat!,"['2 cups cooked, shredded chicken', '1/2 cup shredded reduced fat monterey jack cheese', '2 radishes, sliced', '1 teaspoon chili powder', '1 fresh avocado, mashed', '2 cups prepared fresh salsa (see page 54)', '4 bolillos or french bread rolls, cut in half lengthwise', '2 cups shredded romaine lettuce', '4 thin slices white onion']","1. In amedium bowl, combine chicken, chili powder, and 1 cup Fresh Salsa. 2. In another medium bowl, combine lettuce, onion, cheese, and radishes. 3. Spread equal amounts of mashed avocado on each roll. 4. Place equal amounts of chicken and lettuce mixtures inside of each roll. 5. Spoon % cup Fresh Salsa over lettuce and close sandwich. Serve immediately.",CHICKEN TORTAS,1516,128,120,60
These quesadillas make a great meatless meal for a healthy lunch! Serve with red or green salsa and light sour cream.,"['nonstick cooking spray', '1/2 cup chopped green bell pepper', '2 tablespoons chopped fresh cilantro', '4 (6-inch) flour tortillas', '1/2 cup shredded reduced fat cheddar or monterey jack cheese', '1/2 cup frozen corn, thawed', '1/2 cup sliced green onion', '1/2 cup chopped tomato']","1. Spray a medium skillet with nonstick cooking spray. Sauté bell pepper and corn until softened, about 5 minutes. 2. Add green onion and tomato; cook for several minutes more until heated through; stir in cilantro. 3. Heat tortillas in a large skillet over high heat. Place equal amounts of cheese and vegetables on each tortilla; fold in half and continue to cook until cheese is melted and tortilla is crisp and lightly browned. Serve while hot.",VEGETABLE QUESADILLAS,536,80,28,12
A healthy twist on a classic Greek dish.,"['1 cup sliced onion', '1 tablespoon lemon juice', '2 cups sliced red bell pepper', '2 cups sliced green bell pepper', '1 tablespoon vegetable oil', '1/2 pound turkey breast, cut into thin strips', '1 medium apple, cored and sliced', '6 whole wheat pitas, lightly toasted', '1/2 cup lowfat plain yogurt (optional)']","1. In anonstick skillet, sauté onion, lemon juice, and bell peppers in oil until crisp-tender. 2. Stir in turkey and cook until turkey is fully cooked. Remove from heat and stir in apple. 8. Fold pita in half and fill with apple mixture; drizzle with yogurt. Serve warm.",APPLE TURKEY GYRO,1290,198,84,24
A colorful salad packed with a variety of healthy foods.,"['3 boneless, skinless chicken breasts, cooked and chilled', '1 red bell pepper, cut into strips', '2 cups shredded cabbage', '3 green onions, sliced', '11/2 cups small broccoli florets', '1/4 cup 100% orange juice', '2 medium carrots, peeled and cut into strips', '1/4 cup chopped fresh cilantro']","1. Cut chicken breasts into small strips and place in a medium bowl with onions, broccoli, carrots, bell peppers, and cabbage. 2. In asmall bowl, stir together dressing and juice. Pour over salad and toss well to coat. Stir in cilantro. Serve at room temperature.",ZESTY ASIAN CHICKEN SALAD,736,52,88,20
Fresh vegetables and a light vinaigrette give this salad a lively flavor.,"['11/2 pounds red potatoes (about 8 potatoes), cut into cubes', '1/2 tablespoon spicy brown mustard', '1 tablespoon chopped fresh parsley', '1 teaspoon garlic salt', '1/4 teaspoon ground black pepper', '1/2 cup chopped red bell pepper', '1/2 cup chopped green bell pepper', '1/2 cup chopped green onions']","1. In alarge pot, cook potatoes in boiling water until tender, about 10 minutes (do not overcook). 2. Drain well and let cool. 3. Cut potatoes into bite-size pieces and place in a medium bowl. 4. In asmall bowl, combine dressing, mustard, parsley, and seasonings; pour over potatoes and toss well. 5. Carefully stir in bell peppers and green onions. Cover and chill until ready to serve.",HERBED POTATO SALAD,792,144,12,24
Apples and raisins add a nice twist to traditional tuna salad.,"['2 (6-ounce) cans water packed tuna, drained', '1/4 cup golden raisins', '3 tablespoons fat free italian dressing', '2 tablespoons finely chopped red onion', '2 cups salad greens', '1 medium apple, cored and chopped', '2 medium whole wheat pitas', '1/4 cup chopped celery']","1. In asmall bowl, stir together tuna, onion, apple, celery, raisins, and 2 tablespoons of dressing. 2. In another medium bowl, toss together salad greens with remaining dressing. 3. Cut pitas in half to make 4 pita pockets. 4. Carefully fill pita pockets with equal amounts of salad greens and tuna salad. Serve.",TUNA APPLE SALAD,864,108,100,8
"So easy, just simmer sweet potato slices in juice and serve.","['21/2 cups unsw cups unsweetened 100% in juice', '1/4 teaspoon ground cinnamon', '1/4 teaspoon salt', '2 pounds sweet potatoes (about 4 small potatoes), peeled and thinly sliced']","1. Combine apple juice, cinnamon, and salt ina large skillet. Add sliced sweet potatoes and bring to a boil over high heat. 2. Reduce heat slightly and simmer potatoes, stirring occasionally, for 20 to 25 minutes or until potatoes are tender and juice has been reduced to a glaze. Serve while hot.",APPLE GLAZED SWEET POTATOES,832,200,12,0
This vegetable side dish tastes lively and is fast to fix.,"['11/4 pounds zucchini (about 3 medium zucchini)', '1/2 teaspoon olive oil peel, and sauté for about', '3 minutes until zucchini is lightly browned.', '1 tablespoon dried oregano', '2 cloves garlic, finely chopped', '1 teaspoon grated lemon peel', '1 tablespoon grated parmesan cheese', '1/4 teaspoon ground black pepper']","1. Cut zucchini in half crosswise, then cut each half into 4 lengthwise sticks. 2. Heat oil in a heavy nonstick skillet over medium-high heat. 3. Add oregano and garlic, and sauté for about 2 minutes. 4. Add zucchini and lemon peel, and sauté for about 3 minutes until zucchini is lightly browned. 5. Mix in Parmesan che pepper. Serve warm.",ZUCCHINI SAUTÉ,160,25,10,5
Sprinkle red pepper flakes on this soup for added heat.,"['3 (14-ounce) cans low-sodium chicken broth', '1/2 teaspoon ground black pepper', '1 ripe california avocado, peeled, pitted, and chopped', '2 (10%4-ounce) cans low-sodium condensed tomato soup', '8 corn tortilla chips, crumbled', '1/2 bunch cilantro, leaves only', '3 cloves garlic, finely chopped']","1. Ina large pan over high heat, combine chicken broth, tomato soup, cilantro, garlic, and ground black pepper. Bring to a boil, reduce heat, and simmer for 10 minutes. 2. Cool slightly, then puree small batches in a blender. 3. Return to pan, add avocado and heat thoroughly. 4. Ladle into soup bowls and garnish with crumbled tortilla chips before serving.",AVOCADO TORTILLA SOUP,1072,136,40,48
This dish is colorful and healthy. You can save money by using all green bell peppers.,"['3/4 pound lean ground turkey', '1 large onion, peeled and chopped', '1 medium green bell pepper, seeded and chopped', '1 (14%-ounce) can no salt added diced tomatoes', '1 cup low-sodium canned black beans, drained and rinsed', '1/2 cup prepared barbecue sauce', '1 teaspoon garlic powder', '1 teaspoon liquid smoke', '3 bell peppers (any color)']","1. Brown ground turkey in a medium skillet over medium-high heat until no longer pink; drain excess fat. 2. Add onion and cook until tender, about 5 minutes. 3. Add all remaining ingredients except the whole bell peppers; simmer for 10 minutes over medium heat. 4. Meanwhile, cut the whole bell peppers in half lengthwise and remove the seeds. Place in a microwave safe dish with a small amount of water. 5. Cover and microwave bell peppers on high until crisp-tender, for about 5 minutes. 6. Remove peppers from the dish and place on a large plate. Spoon turkey mixture into bell pepper shells and serve.",BBQ TURKEY IN PEPPER SHELLS,1254,168,102,24
"Tasty, home cooked comfort food in less than 30 minutes.","['21/4 cups canned low-sodium chicken broth', '1/4 cup water', '1 medium onion, peeled and chopped', '4y2 cups frozen mixed vegetables (corn, peas, carrots, and green beans)', '2 cups cooked and chopped chicken', '1 teaspoon dried thyme', '11/4 cups reduced fat prepared baking mix', '1⁄3 cup lowfat milk', '1 egg']","1. In alarge pot, combine chicken broth, water, onion, vegetables, chicken, and thyme. 2. Cover and bring to a boil over medium-high heat. Reduce heat and simmer for 15 minutes. 3. Place baking mix in a small bowl. Remove 2 tablespoons and stir into pot to thicken stew. 4. Add milk and egg to remaining baking mix and stir with a fork to blend. Drop rounded tablespoons onto hot chicken mixture. Cook over low heat, uncovered, for 5 minutes. 5. Cover and cook for 5 minutes more. Serve while hot.",CHICKEN AND DUMPLINGS,1356,144,126,30
Full of fresh vegetables and loaded with flavor.,"['nonstick cooking spray', '1 large onion, peeled and chopped', '1 green bell pepper, seeded and chopped', '1 large zucchini, chopped', '1 cup cooked, chopped chicken breast', '3/4 cup red enchilada sauce', '2 (8-ounce) cans no salt added tomato sauce', '8 (6-inch) corn tortillas', '7/3 cup shredded reduced fat monterey jack cheese']","1. Preheat oven to 375°F. 2. Spray large skillet with nonstick cooking spray. Sauté onion for 5 minutes, stirring occasionally. Add bell pepper and zucchini; cook for 5 minutes more. Stir in chicken; set aside. 3. Meanwhile, combine enchilada sauce and tomato sauce in a small bowl; add % cup to vegetable and chicken mixture. 4. Soften tortillas on the stovetop or in the microwave. Dip each tortilla in sauce and place equal amounts of vegetable and chicken mixture on one side. Roll up and 5. Cover loosely with foil and bake for 20 to 25 minutes. Remove cover and sprinkle cheese over top; bake for 5 minutes more. Serve while hot.",VEGETABLE CHICKEN ENCHILADAS,1244,164,88,32
Try these kabobs at your next family barbecue.,"['2 teaspoons olive oil', '4 wooden skewers', '8 cherry tomatoes', '3 tablespoons fresh lemon juice', '12 whole bay leaves', '1 medium onion, cut into', '1-inch cubes', '1 pound boneless chicken breast without skin, cut into 2-inch cubes', '1 medium green bell pepper, cut into 1-inch cubes', '2 cups cooked brown rice']","1. Inasmall bowl, mix olive oil, lemon juice, and ground black pepper; pour over chicken and marinate one hour in the refrigerator. 2. To make skewers, thread tomato, chicken, bay leaf, onion, and bell pepper; repeat. 3. Grill over medium heat for 5 minutes on each side or until cooked through. Discard bay leaves before serving. 4. Serve each kabob over ¥ cup of brown rice.",GRILLED CHICKEN VEGETABLE KABOBS,1188,116,112,28
Serve this hearty meal with whole wheat bread and green salad.,"['nonstick cooking spray', '1 teaspoon each dried basil, oregano, and garlic powder', '3/4 pound lean ground turkey', '1 medium onion, peeled and chopped', '1/2 teaspoon salt', '1/4 teaspoon ground black pepper', '2 medium zucchini, sliced', '3 tomatoes, chopped', '3 tablespoons tomato paste']","1. Spray nonstick cooking spray in a large skillet. 2. Brown turkey and onion over medium heat until turkey is cooked through and onion is soft, about 10 minutes. 3. Add tomatoes, tomato paste, and seasonings. Simmer over medium heat for 10 minutes. 4. Add zucchini and cook for 5 minutes more. Serve while hot.",EASY TURKEY SKILLET DINNER,724,52,84,24
This meal goes great with a crisp green salad.,"['1/2 pound small red potatoes (about 3 potatoes), rinsed and cubed', '1/4 cup lemon juice, divided', '2 tablespoons honey*', '1 tablespoon chopped fresh rosemary or', '1 teaspoon dried rosemary', '11/2 cups baby carrots', '1 cup green beans, trimmed', '1 teaspoon grated lemon peel', '1/4 teaspoon ground black pepper', '2 boneless, skinless chicken breasts, halved (about 1 pound)', '1 tablespoon olive oil']","1. In amedium pot, bring 8 cups of water to a boil. 2. Add potatoes, carrots, and green beans and cook for 5 minutes; drain and set aside. 3. Cut chicken breasts in half. Place olive oil and chicken breasts in a medium skillet; cook over medium heat for 5 minutes on each side. 4. Add potatoes, carrots, green beans, and all remaining ingredients to skillet, except 2 tablespoons lemon juice. 5. Cook over low heat for 5 minutes more or until chicken is fully cooked. Add remaining lemon juice to taste and serve.",ROSEMARY LEMON CHICKEN WITH VEGETABLES,1104,104,108,28
Make this side dish a main meal by simply adding cooked slices of chicken breast or lean beef.,"['2 tablespoons water', '1 cup thinly sliced zucchini', '11/4 cups thinly sliced yellow squash', '1/2 cup green bell pepper, cut into 2-inch strips', '1/4 cup celery, cut into 2-inch strips', '1/4 cup chopped onion', '1/2 teaspoon caraway seeds', '1⁄8 teaspoon garlic powder', '1 medium tomato, cut into', '8 wedges']","1. Heat water in a medium pan. Add zucchini, squash, bell pepper, celery, and onion. 2. Cover and cook over medium heat until vegetables are crisp-tender, about 4 minutes. 3. Sprinkle seasonings over vegetables. Top with tomato wedges. 4. Cover again and cook over low heat until tomato wedges are warm, about 2 minutes. Serve warm.",HERBED VEGETABLE COMBO,96,20,4,0
Ginger and sesame add an Asian flare to this dish.,"['1 tablespoon sesame seeds nonstick cooking spray', '1 pound boneless, skinless chicken breasts, cut into strips', '2 cups snow peas, trimmed', '1 medium red bell pepper, chopped', '1 medium green bell pepper, chopped', '3 tablespoons low-sodium soy sauce', '2 tablespoons water', '1/2 teaspoons packed brown sugar', '1/4 teaspoon ground ginger', '2 green onions, sliced', '2 cups cooked brown rice', '13 place sesame seeds in a large nonstick skillet; cook for 2 minutes over medium-high heat until lightly browned. remove from skillet and set aside.']","2. Spray same skillet with nonstick cooking spray. Add chicken; cook and stir for about 10 minutes or until chicken is fully cooked. Add snow peas and bell peppers; stir fry for 3 to 4 minutes more until vegetables are crisp-tender. 3. In asmall bowl, combine soy sauce, water, brown sugar, and ginger; add to skillet. Cook for 5 minutes over medium-high heat. 4. Sprinkle with sesame seeds and green onions. Serve % cups of chicken mixture over Y2 cup of brown rice.",SESAME CHICKEN WITH PEPPERS AND SNOW PEAS,1172,112,120,24
Tender chunks of chicken team up with crisp peppers and sweet mangos in this colorful stir-fry. Substitute half of the,"['nonstick cooking spray', '1 pound boneless, skinless chicken breasts, cut into bite-size chunks', '1/4 cup pineapple juice', '3 tablespoons low-sodium soy sauce', '1/4 teaspoon ground ginger', '1 red bell pepper, cut into bite-size strips', '2 mangos, pitted and cut into bite-size strips', '1/4 cup toasted, slivered almonds', '2 cups cooked brown rice']","1. Spray a large wok or skillet with nonstick cooking spray. 2. Sauté chicken over medium-high heat until cooked through, about 10 minutes. 3. In asmall bowl, stir together pineapple juice, soy sauce, and ginger. Add sauce and bell pepper to the skillet. 4. Cook and stir for about 5 minutes until peppers are crisp-tender. 5. Add the mango and almonds to the wok or skillet and cook until hot. Season with ground black pepper to taste. 6. Serve each cup of stir-fry over % cup of brown rice.",MANGO CHICKEN STIR-FRY,1548,188,124,36
Top your pasta with this healthy version of a classic Italian dish.,"['nonstick cooking spray', '2 cloves garlic, finely chopped', '3/4 pound lean ground turkey', '1 teaspoon crushed dried oregano', '2 (14¥%-ounce) cans diced tomatoes, juice reserved', '1 teaspoon ground black pepper', '1 pound spaghetti noodles', '1 green bell pepper, finely chopped', '1 cup finely chopped onion']","1. Spray a large skillet with nonstick cooking spray. Preheat skillet over medium heat. 2. Add turkey and cook, stirring occasionally for 5 to 10 minutes or until cooked through. Drain fat. 3. Stir in tomatoes with their juice, bell pepper, onion, garlic, oregano, and ground black pepper. Bring to a boil and reduce heat. Cover and simmer for 15 minutes, stirring occasionally. 4. Meanwhile, cook spaghetti according to package directions; drain well. Serve sauce over spaghetti.",SPAGHETTI WITH TURKEY MEAT SAUCE,2768,456,160,32
A tasty surprise for those who love fries.,"['nonstick cooking spray', '2 cloves garlic, finely chopped', '2 large russet potatoes, cut into wedges', '1 teaspoon italian herb seasoning mix', '1 teaspoon chili powder and/or paprika']","1. Preheat oven to 400°F. 2. Spray a cookie sheet with nonstick cooking spray. Place potato wedges on the cookie sheet. 3. In asmall bowl, combine garlic with seasonings and sprinkle Ye of the mixture over the top of the potato wedges. 4. Bake wedges for about 7 minutes or until they start to brown. Flip wedges over. Sprinkle with the remaining mixture, and bake for another 7 minutes or until the wedges are browned and cooked through. Serve while hot.",OVEN WEDGE FRIES,584,132,16,4
Make your own restaurant-style fish tacos at home for a light and healthy dinner.,"['1 pound cod or white fish fillets, cut into 1-inch pieces', '1 cup shredded red cabbage', '1 cup shredded green cabbage', '1 tablespoon olive oil', '2 cups chopped tomatoes', '2 tablespoons lemon juice', '1/2 cup nonfat sour cream', '1/2 package taco seasoning', '12 (6-inch) warmed corn tortillas']","1. In amedium bowl, combine fish, olive oil, lemon juice, and seasoning mix; pour into a large skillet. 2. Cook, stirring constantly, over medium-high heat for 4 to 5 minutes or until fish flakes easily when tested with a fork. 3. Fill tortillas with fish mixture. 4. Top with cabbage, tomato, sour cream, and taco sauce. Serve with lime wedge, if desired.",SIMPLE FISH TACOS,1434,192,114,30
"You do not have to boil your greens for hours; in fact, doing this pulls nutrients out of them. Save time and nutrients by cooking greens for only one-half hour.","['3 cups water', '1/4 pound skinless, smoked turkey breast', '1/4 cup chopped onion', '1 tablespoon chopped and seeded jalapeno pepper (optional)', '2 cloves garlic, crushed', '1/4 teaspoon cayenne pepper', '1/4 teaspoon ground cloves', '1/2 teaspoon dried thyme', '1 green onion, chopped', '1 teaspoon ground ginger', '2 pounds greens (mixture of mustard greens, collard greens, kale, and turnip greens)']",1. Place all ingredients except greens into a large pot and bring to a boil. 2. Prepare greens by washing thoroughly and removing stems. 3. Tear or slice greens into bite-size pieces. 4. Add greens to turkey stock. Cook 20 to 30 minutes until tender. Serve while hot.,SAVORY GREENS,414,60,42,6
Serve alone or with vanilla frozen yogurt and a sprinkle of lowfat granola.,"['4 large golden delicious apples, cored', '1 tablespoon lemon juice', '1 teaspoon grated lemon peel', '1/4 cup raisins', '1/2 teaspoon ground cinnamon', '1/2 cup 100% apple juice', '1⁄8 teaspoon nutmeg', '2 tablespoons brown sugar']","1. Place apples in a microwave safe baking dish. 2. Fill each apple with an equal amount of raisins. 3. Combine all remaining ingredients in a small bowl and pour over apples. Cover with plastic wrap and microwave on high for 5 minutes or until apples are tender. 4. Carefully remove apples from dish with a slotted spoon and set aside. 5. Place baking dish back in the microwave and cook on high, uncovered, for 3 to 5 minutes more or until mixture has thickened to a glaze. Drizzle over apples and serve while hot.",CINNAMON BAKED GOLDENS,624,164,4,0
Use fresh orange segments and kiwifruit slices when winter fruits are in season.,"['1 (8-ounce) container lowfat vanilla yogurt', '2 medium red apples, cored and sliced', '1 medium pear, cored and sliced', '2 tablespoons', '100% orange juice', '1 medium plum, sliced', '1 tablespoon lime juice', '8 large strawberries', '1/2 tablespoon brown sugar']","1. Inasmall bowl, combine yogurt, orange juice, lime juice, and brown sugar; mix well. 2. Serve dip in a bowl on a large plate and surround with fruit.",FRUIT DIP,560,128,16,4
Chocolate covered fruit is a great after-dinner treat!,"['2 tablespoons semi-sweet chocolate chips', '8 large strawberries', '1/4 cup chopped unsalted peanuts', '2 large bananas, peeled and cut into quarters']","1. Place chocolate chips in a small microwave safe bowl. Heat on high for 10 seconds and stir. Repeat until chocolate is melted, about 30 seconds. 2. Place fruit on a small tray covered with a piece of waxed paper. Use a spoon to drizzle the melted chocolate on top of the fruit. 3. Sprinkle the fruit with chopped nuts. 4. Cover the fruit and place in the refrigerator for 10 minutes or until the chocolate hardens. Serve chilled.",FUDGY FRUIT,604,96,12,24
"This dessert is simple to make, using just a few ingredients and a blender.","['1 large banana', '2 cups strawberries', '2 ripe mangos, chopped', '1/2 cup of ice cubes']",1. Combine all ingredients in a blender or food processor container. Blend until mixture is smooth. 2. Pour into glasses and serve.,PARADISE FREEZE,484,124,4,4
Try this sweet and juicy recipe at your next family barbecue. Fruit that is firm can be used in most baked or grilled recipes.,"['4 peaches, plums, or nectarines, halved and pitted']","1. Cook 4 halved peaches, plums, and/or nectarines over medium, indirect heat for 8 minutes in a covered barbecue grill. Turn after 4 minutes. Serve while hot.",SAVORY GRILLED FRUIT,152,40,0,0
A light and healthy dessert that takes just minutes to prepare.,"['nonstick cooking spray', '4 (15-ounce) cans juice packed peach slices, drained*', '2 tablespoons cornstarch', '1 teaspoon vanilla', '11/4 teaspoons ground cinnamon', '2⁄3 cup old fashioned oats', '1/4 cup brown sugar', '1⁄3 cup flour', '21/2 tablespoons butter']","1. Preheat oven to 400°F. 2. Spray a 9-inch deep dish pie pan with nonstick cooking spray and pour peaches in the pan. 3. In asmall bowl, stir in cornstarch, vanilla, and 1 teaspoon cinnamon; pour the mixture over peaches. 4. Ina large bowl, mix the remaining cinnamon, oats, brown sugar, flour, and butter with a fork until crumbly; sprinkle over peaches. 5. Bake for 20 to 25 minutes or until juices are thickened and bubbly, and topping is lightly browned. Serve while hot.",PEACH CRUMBLE,1668,336,24,36
Cinnamon and cloves spice up traditional acorn squash wedges.,"['1 large acorn squash (about 1 pound)', '1 cup water', '2 teaspoons butter', '1 large apple, cored, peeled, and chopped', '1 tablespoon brown sugar', '1/4 teaspoon ground cinnamon', '1⁄8 teaspoon ground cloves', '1⁄8 teaspoon nutmeg']","1. Preheat oven to 400°F. 2. Cut squash into halves and scoop out the seeds. Place squash, cut side down, in 13x9-inch baking dish. 3. Add water and bake 35 to 45 minutes or until fork-tender. 4. While the squash is baking, cook the rest of the ingredients in a medium saucepan over medium heat for about 8 minutes or until apple is crisp-tender. 5. Cut each piece of squash in half and divide the apple mixture equally among squash wedges. Return squash to oven; bake 10 minutes more or until heated through and serve while hot.",SPICY APPLE-FILLED SQUASH,396,84,4,8
"Purée canned chickpeas, garlic, and seasonings for a quick veggie dip.","['1 (15-ounce) can chickpeas (known as garbanzo beans), drained and rinsed', '1/4 teaspoon paprika', '1⁄8 teaspoon ground black pepper', '1 medium carrot, sliced', '3 cloves garlic', '1/4 cup plain lowfat yogurt', '2 medium celery stalks, sliced', '1 tablespoon lemon juice', '1/2 cup snap peas', '1 teaspoon olive oil', '1/4 teaspoon salt']",1. Put the first eight ingredients into a food processor and blend until smooth. Serve at room temperature with vegetable slices and snap peas.,CHICKPEA DIP WITH FRESH VEGETABLES,844,136,44,16
