description,ingredients,instructions,name,calories,carbs,protein,fat
"Blending Americana with nutritional know- how, this recipe makes a great breakfast for anyone looking for a morning dose of complex carbs, soluble fiber, and high-quality protein.","['3 cups rolled oats', '1 cup oat bran', '2 large apples, cored and chopped', '2 cups unsweetened applesauce', '4 scoops vanilla protein powder or milk protein blend', '1 tsp salt', '2 tsp cinnamon', '4 cups water', '1 tsp vanilla extract Splenda, to taste', 'Skim milk (1 cup per serving)']","In a large bowl combine oats, oat bran, protein powder, salt, vanilla extract and water. In a separate bowl, mix the apples, applesauce, cinnamon, and Splenda. There are two ways to proceed. You can either combine the applesauce mixture and oat mixture together and bake, or for a layered effect, you can pour the applesauce mixture into the baking dish first, then pour the oat mixture on top. In both cases, bake in an 8x8-inch dish coated with olive oil cooking spray for 35 minutes at 350 degrees F.  Serve in a bowl with 1 cup skim milk poured over top.",OATMEAL APPLE PIE,2456,412,180,32
"Even with all of the choices we have lined- up for breakfast, sometimes it’s nice to have a bowl of cold cereal. Here is a way to feed that urge without wasting away into the prototypical skinny-fat cereal junkie.","['2 cups rolled oats', '4 tbsp whole flax seeds', '1/4 cup wheat bran', '1/2 cup oat bran', '1/4 cup sliced almonds', '1/2 cup sugar free maple syrup', '1/2 tsp coconut extract', 'Splenda, to taste']","Combine all of the ingredients in a large mixing bowl and mix thoroughly. Coat a baking dish with olive oil cooking spray, and spread the muesli out in the dish. Don’t pack tightly, but rather allow clumps to remain. Bake at 350-degrees F for 30 minutes. Allow to cool, then serve with Carb Countdown lowfat milk beverage.",MUESLI,1764,198,120,72
"Even pancakes can  still be a part of a healthy breakfast menu with our version of whole wheat, protein- packed mancakes  (or womancakes - wouldn’t want to leave anyone out).  Make your own topping with fruit and/or berries. Strawberries or blackberries with or without a little Splenda are always a good choice. Wild blueberries can also be added to the batter before cooking.  You could also use cottage cheese and berries for added protein. If the curds of cottage cheese turn you off, put the berries, cottage cheese, and Splenda in a blender for about 30 seconds for a thick, creamy topping.","['1 cup whole wheat pancake mix (any variety will do, as long as it’s whole wheat)', '2 heaping scoops of vanilla whey protein powder', '3/4 cup lowfat cottage cheese', '3 egg whites (1/2 cup)', '3 tbsp flax seeds', '1/4 cup water']","Place the egg whites, cottage cheese, flax seeds and water in a blender and process until smooth. Mix the wet ingredients together with the pancake mix and protein powder in a large bowl.  Cook the pancakes any size you like them in a skillet coated with olive oil cooking spray over medium- low heat. After pouring the pancake batter into the skillet, they will be ready to flip after bubbles form around the edges (about 5 minutes).",PROTEIN PANCAKES,1040,120,100,18
"If you have ever taken a trip to Morocco, then you probably distinctly remember the fragrant foods invading your senses from every  corner of the crowded marketplaces. We have recreated one of these basic recipes with a staple carbohydrate source of Morocco: couscous. Get the whole wheat variety in any Whole Foods type market. Follow the path below into a culinary bliss.","['12 oz. grilled chicken breast, cubed', '1/2 cup whole wheat couscous, dry', '1 cup chicken broth, from bouillon', 'Sun-dried tomatoes, about 20 pieces, chopped', '2 medium tomatoes,', 'chopped', '1 medium onion,', 'chopped', '2 cloves garlic, finely chopped', '1 can green peas, drained', '1/3 cup whole plain yogurt', 'Spices: 1 bay leaf (whole),', '4 whole cardamom pods, dash of cinnamon, dash of turmeric, dash of chili powder, 1 teaspoon salt,', '1 teaspoon ground coriander']","Fry the garlic and onions in a nonstick pan (large enough to hold all the ingredients) coated with olive oil cooking spray for a couple of minutes until they start to brown, then add the chopped tomatoes. Stir until they become fluid, and then add the broth. Bring to a boil and add the spices. Slowly stir in the yogurt, one tablespoon at a time. Add the chicken, sun-dried tomatoes, and peas. Then stir in the dry couscous, cover, reduce the heat and simmer for 5 minutes. Remove from heat, fluff with a fork, cover it again and let it sit for a few minutes before serving.",MOROCCAN CHICKEN,1280,142,138,18
"Acorn squash has a unique flavor that is a combination of sweet, nutty and peppery. In addition to anti-cancer phytonutrients, acorn squash is packed with vitamins (excellent source of vitamin A (in the form of beta- carotene), vitamin C, thiamin-vitamin B1, vitamin B6, vitamin B3, folate, pantothenic acid- vitamin B5, and potassium), and promote prostate health.  This version of stuffed squash is delicious, very healthy, and it’s even nice to look at. A generous heaping of chicken and vegetables complements the distinctive flavor of butternut squash, which is really brought to life with the addition of grated orange peel.","['2 medium acorn squash', '1/2 cup water', '1 Ib Chicken breast, cut into 1-inch cubes', '2 medium onions, chopped', '2 large stalks celery, sliced 1/4-inch (1 cup)', '1/2 teaspoon salt', '1/2 teaspoon pepper', '1/2 teaspoon dried thyme leaves', '1 tablespoon freshly grated orange peel']","Cut the acorn squash in half and scoop out the seeds and membrane with a spoon. Place squash, cut-side down, in a baking dish and pour water in bottom of pan to 1/4 inch. Bake at 375-degrees F for 45 minutes or until fork tender. Flip the squash halves over after removing from the oven.  For quick cooking, microwave the squash on high, covered, without the water for about 10 minutes, or until fork tender.  While the squash is cooking, stir-fry add all remaining ingredients except the orange peel. Cook over medium-high heat, stirring occasionally; until chicken is no longer pink (15 to 20 minutes). Stir in the orange peel. Continue cooking, stirring occasionally, until heated through (3 to 4 minutes).  Fill each squash half with the mixture to serve.",CITRUS CHICKEN-STUFFED ACORN SQUASH,1194,112,152,18
"If you haven't had luck with split peas in the past, this recipe is the result of a long period of experimentation with various spices and ingredients, until finding a combination that is incredibly tasty. What's the reason for all this trouble? Split peas are an incredible source of fiber and complex carbs. This recipe packs a whopping 31 grams  of fiber!","['1/2 cup dry split peas', 'Roasted chicken breast,', '6 oz.', '1/2 medium yellow onion, chopped', '1 medium carrot, sliced', '1 medium tomato, chopped', '1 dash salt', '1 bouillon cube, chicken', '1 dash curry powder']","Bring everything to a boil except the chicken breast and curry powder with 3 cups water, cover and simmer for 30 minutes. Remove the lid and boil off the remaining liquid, adding the curry powder right after you remove the pot from the heat. Serve on a plate or shallow bowl, topped with the chicken breast.",CURRIED SPLIT PEAS AND ROASTED CHICKEN,742,86,81,9
"Oats can also serve as a foundation for savory meals. Steel-cut oats are particularly versatile, given their crunchy texture and nutty flavor. This recipe is light and refreshing. And it’s a great way to eat your oats on those hot August days when a steaming bowl of oatmeal is the last thing on your mind.","['Chicken breast,', '6 oz cooked', '1/2 cup steel-cut oats', '1 large tomato, chopped', '1 large cucumber, chopped', '2 scallions (green onions), diced', '1/3 cup fresh mint and/or parsley, chopped', 'Juice from 1 fresh lemon Dash of salt', '2 large romaine leaves']","Place the oats in a pot and cover with boiling water. Allow to sit for 20 minutes, then drain. When well drained and slightly cooled, mix the oats with the tomato, cucumber, scallions, mint/parsley, lemon juice and salt. Cover and refrigerate until cool.",OAT SALAD WITH GRILLED CHICKEN BREAST,691,75,72,12
"With a little preparation, this recipe can be thrown together in just a couple of minutes. By using pre- cooked chicken breasts and rice, together with frozen peas & carrots and select vegetables, this is perfect for an office meal when time is of the essence.","['Chicken breast, grilled,', '6 oz., cubed', 'Brown rice, 1.5 cups cooked', 'Frozen peas and carrots,', '1/2 cup', '1 stalk celery, chopped', 'Red bell pepper, 1/2 medium, chopped', '2 tbsp barbecue sauce']","Very simple, just stir all of the ingredients together in a pot on medium-low heat, until everything is warm. It can also be nuked for a couple of minutes",TEX-MEX CHICKEN AND RICE,720,86,64,10
This recipe has a down- home goodness that will quell any cravings for Mom’s or Grandma’s home cooking. It also  provides a delicious way to enjoy a major helping of protein and vegetables.,"['1 lb roasted chicken breast, chopped or torn into chunks', '3 medium yellow squash, sliced', '2 cups sliced mushrooms', '1/2 large yellow onion, chopped', '2/3 cup whole plain yogurt', '1/2 cup shredded cheddar cheese', '1/2 tbsp butter, coconut oil, or Smart Balance', 'spread', '1 chicken bouillon cube dissolved in 1/2 cup water', '1/2 tsp garlic powder', 'Salt & pepper, to taste']","In a large skillet, heat the butter or spread over medium-high heat and add onions, squash, and mushrooms, stir-frying for 5 minutes. Add pre- roasted chicken breasts chopped into small pieces or torn into chunks (similar to what you find in homemade chicken pot pie), and stir-fry for another 2 minutes. Add the chicken broth and bring to a boil, then stir in yogurt 1 tablespoon at a time. Add the spices and cheese and stir until achieving a thick consistency. Sprinkle a little shredded cheese over top before serving (ca. 1/8 cup total).",CHICKEN WITH SQUASH IN A CREAM SAUCE,1386,48,178,54
"Here is a healthy version of one of the most popular Chinese dishes in existence. The medley of chicken, golden peanuts, and bright red chiles is not only incredibly tasty, but also a pleasure to look at. The reason why this dish has finely chopped chicken, unlike the thinly sliced meats of most Asian cuisine, is because the emperor  who it is named after - Gong Bao ~ had bad teeth. This tradition has survived today in this delightful rendition of an imperial bureaucrat’s favorite grub.","['Marinade:', '1 lb raw chicken breast, chopped into 1/2-inch cubes', '4 cloves garlic, chopped', '1-inch cube fresh ginger, chopped', '2 tbsp white cooking wine Other Ingredients:', '1/2 cup skinless roasted peanuts (unsalted)', '1 medium onion, cut into', '1-inch squares', '1 medium green pepper, cut into 1-inch squares', 'A handful of dried red chiles (substitute a dash of chili powder if necessary)', '8 oz can sliced water chestnuts, drained', '1/2 cup chicken broth (from bouillon)', '1 tbsp soy sauce', '2 tbsp peanut sauce (e.g., San J Thai Peanut Stir Fry Sauce)', '2 tbsp peanut oil']","Place the chopped chicken, garlic, ginger, and cooking wine in a large bowl and refrigerate while preparing the remaining ingredients.  In a large skillet or wok, heat a tablespoon of peanut oil over medium-high heat for a few seconds, and then add the chicken and its marinade. Stir-fry until the chicken is cooked throughout, about 6-8 minutes. Remove the chicken, add another tablespoon of peanut oil, and then stir-fry the peanuts for about 3 minutes, until browned. Add the onions, green pepper, water chestnuts, and red chiles just until vegetables start to brown, about 5 minutes. Add chicken broth, soy sauce, and peanut sauce, mix thoroughly, and serve.",KUNG PAO CHICKEN,2010,105,171,102
"Here is an everyday Asian staple, modified to fit our lifestyle. It’s quick, easy, and delicious, and it can be made in bulk and enjoyed for the next few days.","['1 Ib raw chicken breast, thinly sliced', '3 cups cooked brown rice', '1 cup frozen peas and carrots, thawed', '5 scallions/ green onions, chopped', '1 omega-3 egg plus', '3 egg whites (1/2 cup), beaten', '4 cloves garlic, chopped', '1 tbsp peanut oil', '1 tbsp soy sauce', '1/4 tsp salt']","Ina large skillet or wok, sauté the garlic in half of the peanut oil for under a minute, then add the chicken and stir-fry for about 5-8 minutes until cooked throughout. Add the peas and carrots and scallions and stir-fry for another 2 minutes. With your spatula, push the cooked materials near the sides of the wok or skillet, opening a bare spot in the middle. Add the remaining peanut oil, then the beaten eggs. Scramble the eggs in the center of the wok/skillet, and when the eggs have finished cooking throughout, return the other ingredients to the center of the wok/skillet, mixing with the eggs. Add the steamed rice and salt, toss lightly for a couple of minutes, then drizzle the soy sauce over the top. Serve warm, or store in an airtight container in the refrigerator.",CHICKEN FRIED RICE,1540,168,148,28
"You can throw this one together very quickly from pre-cooked chicken and rice for a healthy, delicious meal. Fajitas have a healthy base (chicken and vegetables), but they are often drenched in unhealthy oils while cooking. Also, they are served with enticing, warm fajitas made from white enriched flour, which are almost always a source of overindulgence. Our recipe skips the tortillas and uses the grilled chicken and vegetables as a topping over a bed of spiced brown rice.","['1 Ib roasted chicken breast, cut into fajita strips', 'Steamed brown rice, from 1 cup dry', '1 small onion, sliced', '1 bell pepper, sliced', '1/2 cup salsa', '1 tsp paprika', '1/8 tsp cumin', '2 tbsp lime juice', 'Salt & pepper, to taste']","In a large bowl, combine the cooked rice, paprika, cumin, and salsa. Stir until mixed thoroughly and then reheat in the microwave or on the stovetop. Ina large skillet or wok coated with olive oil cooking spray, stir-fry the roasted chicken strips, onion, and bell pepper over high heat until the onions start to brown, or about 5 minutes. Add salt and pepper while stir-frying.  Separate the rice onto two plates, top with the chicken and vegetables, and then drizzle the lime juice over top.",FAJITA CHICKEN AND RICE,1500,160,158,22
"If you haven't tried quinoa yet, then here is your chance to experience one of the healthiest grains in existence. This is a “leafy grain’ that grows way up in the Andes highlands on a plant similar to spinach. It also has magnificent nutritive properties. This recipe combines a harmony of flavors local to the highland Andes in an exceedingly nutritious meal.","['1 Ib roasted chicken breast, sliced', 'Steamed quinoa grain, from 1 cup dry', '2 yellow squash, sliced', '1 tomato, chopped', '1/2 cup fresh cilantro, chopped', '1/4 cup lime juice', '1 tsp olive oil', '4 cloves garlic, chopped', '1/4 tsp salt', '1 tsp paprika']","Ina large skillet, sauté the garlic, chicken breasts and squash in olive oil for about 5 minutes, until slightly browned. Add quinoa, tomato, cilantro, salt, and paprika and toss lightly for another 5 minutes, just until mixture is warm and thoroughly mixed. Mix in the lime juice just before serving.",PERUVIAN CHICKEN,1580,152,170,32
"Here is a recipe that combines four basic ingredients for a quick, flavorful, and nutritious meal. The four ingredients are quinoa, chicken breast, spinach, and lemon juice. Spinach and quinoa make a great combination, which is only natural considering that quinoa grows on a leafy, spinach-like plant. Peruvians often eat the green leaves of the quinoa plant together with the grains ina single meal.","['8 oz roasted chicken breast', 'Steamed quinoa grain, from 1/2 cup dry', 'Large handful fresh spinach leafs', '2 tbsp lemon juice', 'Dash of salt']","Cut the roasted chicken breast into 1-inch cubes, then sauté together with the spinach in a large skillet coated with olive oil cooking spray. Cook just until warm, when spinach reduces and becomes pliable. Reheat the steamed quinoa in the microwave on a plate, and then top with the chicken and spinach. Add the lemon juice and salt just before serving.",QUICK QUINOA AND CHICKEN,733,67,86,14
"Chick peas are full of nutrients and fiber, and they have an extremely low glycemic index (28). So they serve as a good base fora carbohydrate-rich meal that won't take your insulin levels on a roller coaster ride. Given these impressive stats, this meal would be a good choice ona day-off from the gym, or some time outside of the workout window.","['8 oz roasted chicken breast, chopped', '1 can (15.5 oz) chickpeas, drained', '1/2 onion, chopped', '1 large tomato, chopped', '2 tsp olive oil', '2 cloves garlic, chopped', '1/4 tsp cumin', '1/4 tsp salt', '2 cardamom pods']","In a large skillet, sauté the garlic in 1 tsp olive oil for a couple of minutes, then add the chicken and onions. Stir fry for a few minutes, until onions begin to brown, then add the remaining ingredients. Continue cooking and stirring for about 5 minutes, until the meal has a good consistency.",CHICKEN WITH CHICK PEAS,975,90,98,25
"Wheat is one of the most widely available & commonly used grains across the world — but most people have never even seen whole wheat. Before it reaches our tables, it's usually processed to the extreme. This recipe, however, includes real wheat - commonly called wheat berries. Wheat berries also have more vitamins, fiber, and micronutrients than other types of wheat. In this dish, the flavor of wheat berries is complemented with fresh rosemary. Together with carrots and broccoli, a flavorful bed is made fora roasted chicken breast.","['1 Ib roasted chicken breast', '1 cup wheat berries', '4 cups water', '2 cup broccoli flowerets', '2 cups (ca. 16) baby carrots', '2 tbsp fresh rosemary leaves', '1/2 tsp garlic powder', 'Salt & pepper, to taste']","In a pot with a tight-fitting lid, bring the water and a dash of salt to a boil. Add wheat berries, cover and simmer for 45 minutes. Add broccoli, carrots, rosemary, garlic powder, salt and pepper, stir, and simmer for an additional 15 minutes with the lid on. After this final simmering time, remove the lid and boil off any additional liquid. Top with roasted chicken breast to serve. This dish can also be cooked in bulk, refrigerated, and then reheated together with the chicken breast for a quick meal.",ROASTED CHICKEN WITH ROSEMARY WHEAT BERRIES,1486,152,176,20
"This recipe uses coconut, a plant source of saturated fat, one generally recognized as having many health- promoting properties. The coconut in this recipe forms a flaky crust for the chicken, and is complemented with steamed broccoli with olive oil and lemon juice.","['1.5 Ib raw chicken breasts (about 2 large breasts)', '2/3 cup shredded coconut', 'Broccoli, 1 large stalk (about 3 cups chopped)', '3 cloves garlic, chopped', '2 tbsp butter, coconut oil, or Smart Balance butter spread', '2 tsp olive oil', '2 tbsp lemon juice', 'Salt and pepper, to taste']","Combine the coconut, garlic, and butter in a bowl and microwave just until the butter has softened. Stir the mixture thoroughly, and then spread evenly onto the top side of the chicken breasts. Place the coconut-topped chicken on a baking sheet coated with olive oil cooking spray, and bake at 400 degrees for 20 minutes, broiling for the last 10 minutes.  While the chicken is roasting, steam the broccoli in a large covered pot with 1 inch of boiling water in the bottom. Steam the broccoli in this manner for 8-10 minutes, then separate onto two plates, drizzling with olive oil, lemon juice, salt and pepper. Serve with the roasted chicken breasts.",COCONUT CHICKEN,1426,52,172,58
"Casseroles often seem like a lot of work because of the baking time involved, but as long as you plan ahead, they are actually quite easy. Just throw everything into a baking dish and forget about it. Chicken, apples, and butternut squash all complement one another to  make a light, slightly sweet dish.","['1 Ib chicken breast, cut into 1-inch cubes', '2 apples, peeled, cored, and chopped into', '1/2-inch cubes', '1 butternut squash, peeled and cubed (4 cups cubed)', '2 medium onions, chopped', '3 cloves garlic, chopped', '1/2 cup shredded lowfat Havarti cheese', '1 cup chicken stock (from bouillon)', '1 tbsp fresh ginger root, chopped', '1/2 teaspoon ground cumin']","In a skillet coated with olive oil cooking spray, sauté the chicken, garlic, and onions for about 5 minutes, until the outside of the chicken is cooked, while remaining raw in the center. Combine everything in a large bowl, and then transfer to a 9x9 inch baking dish coated with olive oil cooking spray. Bake at 375-degrees F for 40 minutes.",APPLE CHICKEN CASSEROLE,1974,183,243,33
"Here is a dish that will change your impression of a casserole from wimpy to rugged. It’s hard to imagine that cottage cheese and eggs could form the foundation of a casserole that is not only nutritious, but also tastes incredible. But believe us, the taste of this one will make it a regular on your  dinner table.","['1 Ib lean turkey sausage, sliced', '1 medium onion, chopped', '2 cloves garlic, minced', '3 medium zucchinis, sliced (1/4 inch thick)', '11/2 cups sliced mushrooms', '1 tbsp olive oil', '2 cups cottage cheese', '2 omega-3 eggs', '3/4 cup shredded mozzarella cheese, part skim']","Preheat the oven to 350-degrees F. Slice the sausage and brown in a skillet, then place in bottom of a 2-quart baking dish coated with olive oil cooking spray. Sauté the onion and garlic in olive oil until slightly browned. Add zucchini and mushrooms and sauté 2 to 3 additional minutes. Remove from heat and add half this mixture over the sausage.  In an electric blender, blend cottage cheese and eggs until smooth. Pour the mixture into the baking dish, then top with remaining zucchini mixture. Bake at 350° F for 35 to 40 minutes, top with mozzarella cheese, then bake for an additional 5 minutes.",TURKEY SAUSAGE CASSEROLE,1827,48,231,75
